TABLE_NAME,TABLE_FULL_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,TABLE_CATALOG,Date,ORDINAL_POSITION
DimDate,Shared.DimDate,Date,date,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,2
DimDate,Shared.DimDate,DayOfMonth,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,3
DimDate,Shared.DimDate,DayOfWeekName,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,4
DimDate,Shared.DimDate,FirstDayOfMonth,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,8
DimDate,Shared.DimDate,FirstDayOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,10
DimDate,Shared.DimDate,FiscalFirstDayOfMonth,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,16
DimDate,Shared.DimDate,FiscalFirstDayOfMonth_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,26
DimDate,Shared.DimDate,FiscalFirstDayOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,18
DimDate,Shared.DimDate,FiscalFirstDayOfYear_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,28
DimDate,Shared.DimDate,FiscalLastDayOfMonth,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,17
DimDate,Shared.DimDate,FiscalLastDayOfMonth_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,27
DimDate,Shared.DimDate,FiscalLastDayOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,19
DimDate,Shared.DimDate,FiscalLastDayOfYear_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,29
DimDate,Shared.DimDate,FiscalMonth,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,13
DimDate,Shared.DimDate,FiscalMonth_EU,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,23
DimDate,Shared.DimDate,FiscalMonthName,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,20
DimDate,Shared.DimDate,FiscalMonthName_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,30
DimDate,Shared.DimDate,FiscalQuarter,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,22
DimDate,Shared.DimDate,FiscalQuarter_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,32
DimDate,Shared.DimDate,FiscalWeekOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,21
DimDate,Shared.DimDate,FiscalWeekOfYear_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,31
DimDate,Shared.DimDate,FiscalYear,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,14
DimDate,Shared.DimDate,FiscalYear_EU,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,24
DimDate,Shared.DimDate,FiscalYearName,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,15
DimDate,Shared.DimDate,FiscalYearName_EU,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,25
DimDate,Shared.DimDate,Id,datetime,NO,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,1
DimDate,Shared.DimDate,LastDayOfMonth,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,9
DimDate,Shared.DimDate,LastDayOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,11
DimDate,Shared.DimDate,Month,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,5
DimDate,Shared.DimDate,MonthName,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,6
DimDate,Shared.DimDate,WeekOfYear,nvarchar,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,12
DimDate,Shared.DimDate,Year,int,YES,RDL00001_EnterpriseDataWarehouse,2025-08-11 15:47:41.400,7
